Roll No.,Name,Class/Section,DOB,Fathers Name,Mothers Name,Father Email Address,Father Mobile Number,Mothers Email Address,Mothers Phone Number,Student Email Address,Student Phone Number,address
111001,Aarav Sharma,11-A,15-01-2007,Raj Sharma,Aditi Sharma,rajsharma@gmail.com,8134210901,asharma@outlook.com,7963068247,aditisharma@outlook.com,9505560591,LB Nagar
111002,Ananya Gupta,11-A,23-02-2007,Rahul Gupta,Sneha Gupta,rgupta@outlook.com,8094614906,sgupta@hotmail.com,7151204994,snehagupta@hotmail.com,8155934035,Birla Mandir
111003,Ishaan Patel,11-A,10-03-2006,Rajesh Patel,Sunita Patel,rpatel@yahoo.com,8989486321,spatel@yahoo.com,8950013558,sunitapatel@outlook.com,8003686202,Wonderla Amusement Park
111004,Diya Rao,11-A,28-04-2007,Vijay Rao,Aarti Rao,vrao@outlook.com,8592757437,arao@hotmail.com,7837340585,aartirao@yahoo.com,9200205843,Ramoji Film City
111005,Aditya Mehta,11-A,05-05-2006,Ramesh Mehta,Neelam Mehta,rmehta@outlook.com,8616122932,nmehta@gmail.com,7804181104,neelammehta@hotmail.com,8728439298,Chowmahalla Palace
111006,Kavya Nair,11-A,12-06-2007,Arun Nair,Shalini Nair,anair@outlook.com,9967125322,snair@hotmail.com,7505062386,shalininair@yahoo.com,7241952345,Jubilee Hills
111007,Arjun Iyer,11-A,18-07-2006,Sanjay Iyer,Priya Iyer,siyer@yahoo.com,7120682958,piyer@hotmail.com,7483900648,priyaiyer@hotmail.com,9258828370,HITEC City
111008,Saanvi Reddy,11-A,09-08-2007,Ravi Reddy,Lakshmi Reddy,rreddy@outlook.com,8559725823,lreddy@outlook.com,8085499790,lakshmireddy@outlook.com,7491839131,Golconda Fort
111009,Rohan Das,11-A,30-09-2006,Subhash Das,Priyanka Das,sdas@yahoo.com,8218805149,pdas@hotmail.com,7388447420,priyankadas@outlook.com,8603502399,Charminar
111010,Aditi Joshi,11-A,14-10-2007,Sanjay Joshi,Neha Joshi,sjoshi@outlook.com,7474712946,njoshi@hotmail.com,8105733134,nehajoshi@outlook.com,7634434607,Gachibowli
