Roll No.,Name,Class/Section,DOB,Fathers Name,Mothers Name,Father Email Address,Father Mobile Number,Mothers Email Address,Mothers Phone Number,Student Email Address,Student Phone Number,address
112001,Rajesh Kulkarni,11-B,08-07-2005,Shankar Kulkarni,Asha Kulkarni,skulkarni@gmail.com,7135648283,akulkarni@gmail.com,7364122777,rajeshkulkarni@outlook.com,7657783441,Ramoji Film City
112002,Snehal Patil,11-B,02-03-2006,Vasant Patil,Sunita Patil,vpatil@hotmail.com,7182585116,spatil@outlook.com,7227243647,snehalpatil@yahoo.com,8274615269,Manikonda
112003,Vikram Nair,11-B,05-10-2006,Pradeep Nair,Radhika Nair,pnair@outlook.com,7018507458,rnair@outlook.com,8630344502,vikramnair@gmail.com,7212646999,LB Nagar
112004,Ishita Reddy,11-B,17-12-2005,Ravi Reddy,Lakshmi Reddy,rreddy@yahoo.com,7724612990,lreddy@yahoo.com,8501123199,ishitareddy@outlook.com,7431553625,Wonderla Amusement Park
112005,Ravi Mehta,11-B,14-06-2004,Rajesh Mehta,Anjali Mehta,rmehta@hotmail.com,9938630591,amehta@outlook.com,9526463159,ravimehta@hotmail.com,8330196543,Salar Jung Museum
112006,Priya Sharma,11-B,25-02-2006,Amit Sharma,Ritu Sharma,asharma@gmail.com,7373622101,rsharma@yahoo.com,8537417934,priyasharma@yahoo.com,8237996348,Necklace Road
112007,Manish Gupta,11-B,20-04-2005,Nikhil Gupta,Shreya Gupta,ngupta@outlook.com,9175983816,sgupta@gmail.com,8374439614,manishgupta@hotmail.com,7438798986,Falaknuma Palace
112008,Neha Iyer,11-B,09-11-2004,Suresh Iyer,Rekha Iyer,siyer@hotmail.com,7477037991,riyer@outlook.com,8415380680,nehaiyer@gmail.com,9949354218,Birla Mandir
112009,Akshay Rao,11-B,02-12-2004,Prakash Rao,Sunita Rao,prao@gmail.com,9093143530,srao@gmail.com,9173224518,akshayrao@yahoo.com,9231576852,Chowmahalla Palace
112010,Komal Joshi,11-B,13-08-2006,Ashok Joshi,Seema Joshi,ajoshi@yahoo.com,8564770078,sjoshi@hotmail.com,9919762404,komaljoshi@outlook.com,7810717036,Ameerpet
112011,Ankit Das,11-B,05-01-2005,Subhas Das,Rina Das,sdas@gmail.com,9637915624,rdas@hotmail.com,8387848443,ankitdas@yahoo.com,8550534602,Kukatpally
112012,Swati Kapoor,11-B,30-10-2005,Arun Kapoor,Shalini Kapoor,akapoor@outlook.com,9361334163,skapoor@outlook.com,7463421529,swatikapoor@outlook.com,7800428141,Qutb Shahi Tombs
112013,Sahil Menon,11-B,08-04-2006,Ravi Menon,Priya Menon,rmenon@outlook.com,7373761423,pmenon@yahoo.com,7179622007,sahilmenon@gmail.com,7139347498,KBR National Park
112014,Nikita Jain,11-B,28-02-2004,Vijay Jain,Pooja Jain,vjain@gmail.com,8920135838,pjain@outlook.com,7782131450,nikitajain@hotmail.com,7359852656,HITEC City
112015,Raghav Malhotra,11-B,22-05-2005,Rajeev Malhotra,Anita Malhotra,rmalhotra@gmail.com,7293775710,amalhotra@gmail.com,7055185625,raghavmalhotra@gmail.com,7517048463,Lumbini Park
112016,Divya Aggarwal,11-B,12-07-2006,Manish Aggarwal,Suman Aggarwal,maggarwal@hotmail.com,7419426740,saggarwal@gmail.com,8440687622,divyaaggarwal@yahoo.com,9359023726,Golconda Fort
112017,Arvind Mishra,11-B,17-09-2006,Rajesh Mishra,Meena Mishra,rmishra@outlook.com,7695559351,mmishra@gmail.com,8782246041,arvindmishra@outlook.com,9252745120,Begumpet
112018,Ritu Verma,11-B,10-05-2004,Sunil Verma,Neelam Verma,sverma@hotmail.com,7564252586,nverma@yahoo.com,8769687761,rituverma@outlook.com,9160892610,Charminar
112019,Abhinav Bhat,11-B,19-01-2006,Ramesh Bhat,Sushila Bhat,rbhat@gmail.com,7792575288,sbhat@gmail.com,9186278216,abhinavbhat@hotmail.com,8351862594,Hussain Sagar Lake
112020,Trisha Thakur,11-B,25-03-2005,Vijay Thakur,Kavita Thakur,vthakur@outlook.com,8823764342,kthakur@gmail.com,8095334706,trishathakur@yahoo.com,7438488817,Shilparamam
112021,Shivam Choudhary,11-B,06-11-2006,Pradeep Choudhary,Anjali Choudhary,pchoudhary@yahoo.com,7874331224,achoudhary@hotmail.com,9800813858,shivamchoudhary@hotmail.com,7238376661,Durgam Cheruvu
112022,Pallavi Saxena,11-B,03-06-2005,Manoj Saxena,Rekha Saxena,msaxena@yahoo.com,7521592543,rsaxena@hotmail.com,7085970630,pallavisaxena@hotmail.com,8092349880,Jubilee Hills
112023,Aman Singh,11-B,18-12-2006,Harish Singh,Priya Singh,hsingh@yahoo.com,9820290093,psingh@outlook.com,8302130410,amansingh@outlook.com,9985830950,Gachibowli
112024,Kiran Kaul,11-B,11-09-2005,Rajeev Kaul,Aarti Kaul,rkaul@hotmail.com,8886643576,akaul@yahoo.com,7833078614,kirankaul@outlook.com,9059101155,Paigah Tombs
112025,Esha Roy,11-B,17-08-2004,Amit Roy,Sunita Roy,aroy@outlook.com,7454127773,sroy@outlook.com,8248885516,esharoy@outlook.com,9690143346,Purani Haveli
112026,Yuvraj Goel,11-B,20-10-2004,Rajesh Goel,Pooja Goel,rgoel@outlook.com,9721433727,pgoel@hotmail.com,8494333081,yuvrajgoel@outlook.com,7856578485,NTR Gardens
112027,Roshni Deshmukh,11-B,14-05-2006,Manoj Deshmukh,Sunita Deshmukh,mdeshmukh@outlook.com,8385984954,sdeshmukh@outlook.com,8029953752,roshnideshmukh@yahoo.com,7690823430,Banjara Hills
112028,Kunal Khanna,11-B,22-01-2004,Sanjeev Khanna,Anita Khanna,skhanna@hotmail.com,9504109887,akhanna@hotmail.com,8631202917,kunalkhanna@yahoo.com,7580997246,Snow World
112029,Tanisha Bajaj,11-B,25-06-2006,Harish Bajaj,Pooja Bajaj,hbajaj@hotmail.com,8275882789,pbajaj@gmail.com,8015883213,tanishabajaj@outlook.com,8257707331,Mecca Masjid
112030,Varun Tiwari,11-B,12-02-2005,Rajendra Tiwari,Neelam Tiwari,rtiwari@hotmail.com,7787742978,ntiwari@gmail.com,7663019671,varuntiwari@gmail.com,8632509938,Nagole
