"rollno";"date";"period_1";"period_2";"period_3";"period_4";"period_5";"period_6"
111001;"2024-12-10";"P";"A";"A";"P";"P";"P"
111002;"2024-12-10";"P";"P";"P";"P";"P";"P"
111003;"2024-12-10";"P";"P";"P";"P";"P";"P"
111004;"2024-12-10";"P";"P";"P";"P";"P";"P"
111005;"2024-12-10";"P";"P";"P";"P";"P";"P"
111006;"2024-12-10";"P";"P";"P";"P";"P";"P"
111007;"2024-12-10";"P";"P";"P";"P";"P";"P"
111008;"2024-12-10";"P";"P";"P";"P";"P";"P"
111009;"2024-12-10";"P";"P";"P";"P";"P";"P"
111010;"2024-12-10";"P";"P";"P";"P";"P";"P"
111011;"2024-12-10";"P";"P";"P";"P";"P";"P"
111012;"2024-12-10";"P";"P";"P";"P";"P";"P"
111013;"2024-12-10";"P";"P";"P";"P";"P";"P"
111014;"2024-12-10";"P";"P";"P";"P";"P";"P"
111015;"2024-12-10";"P";"P";"P";"P";"P";"P"
111016;"2024-12-10";"A";"P";"P";"P";"A";"A"
111017;"2024-12-10";"P";"P";"A";"P";"P";"P"
111018;"2024-12-10";"P";"P";"P";"P";"P";"P"
111019;"2024-12-10";"P";"P";"P";"P";"P";"P"
111020;"2024-12-10";"P";"P";"P";"P";"P";"P"
111021;"2024-12-10";"P";"P";"P";"P";"P";"P"
111022;"2024-12-10";"P";"P";"P";"P";"P";"P"
111023;"2024-12-10";"P";"P";"P";"P";"P";"P"
111024;"2024-12-10";"P";"P";"P";"P";"P";"P"
111025;"2024-12-10";"P";"P";"P";"P";"P";"P"
111026;"2024-12-10";"P";"P";"P";"P";"P";"P"
111027;"2024-12-10";"P";"P";"P";"P";"P";"P"
111028;"2024-12-10";"P";"P";"P";"A";"A";"P"
111029;"2024-12-10";"P";"P";"P";"P";"P";"P"
111030;"2024-12-10";"P";"P";"P";"P";"P";"P"
