Roll No.,Name,Class/Section,DOB,Fathers Name,Mothers Name,Father Email Address,Father Mobile Number,Mothers Email Address,Mothers Phone Number,Student Email Address,Student Phone Number,address
122001,Arnav Sinha,12-B,11-08-2005,Rahul Sinha,Neha Sinha,nsinha@outlook.com,9571051562,nehas@yahoo.com,8851265204,arnavsinha@gmail.com,9784041884,Snow World
122002,Diya Reddy,12-B,03-02-2006,Prakash Reddy,Lakshmi Reddy,lreddy@yahoo.com,7707849266,lakshmir@gmail.com,9282216897,diyareddy@yahoo.com,9823324074,LB Nagar
122003,Harsh Chatterjee,12-B,27-12-2006,Subrata Chatterjee,Smita Chatterjee,schatterjee@gmail.com,8580652628,smitac@outlook.com,9228380536,harshchatterjee@gmail.com,7701372982,Begumpet
122004,Lavanya Rao,12-B,07-10-2005,Venkatesh Rao,Sushila Rao,srao@gmail.com,9609618493,sushilar@yahoo.com,8643920545,lavanyarao@gmail.com,9372919225,Manikonda
122005,Manav Nair,12-B,17-05-2004,Sanjay Nair,Meena Nair,mnair@hotmail.com,9318053759,meenan@yahoo.com,7557820846,manavnair@hotmail.com,9639419969,Falaknuma Palace
122006,Aisha Kapoor,12-B,12-01-2005,Rajiv Kapoor,Neelam Kapoor,nkapoor@hotmail.com,9457980923,neelamk@yahoo.com,9944915032,aishakapoor@outlook.com,7842345812,Birla Mandir
122007,Rajat Menon,12-B,09-09-2006,Vinu Menon,Sreeja Menon,smenon@hotmail.com,7680383824,sreejam@hotmail.com,9291339039,rajatmenon@outlook.com,7567063790,Salar Jung Museum
122008,Sanya Iyer,12-B,22-11-2004,Harish Iyer,Rekha Iyer,riyer@gmail.com,9630081560,rekhai@gmail.com,8225370421,sanyaiyer@gmail.com,9154120432,Durgam Cheruvu
122009,Pranav Bhat,12-B,15-03-2006,Rajesh Bhat,Pooja Bhat,pbhat@outlook.com,7478223346,poojab@yahoo.com,8447197075,pranavbhat@yahoo.com,8823403926,Banjara Hills
122010,Simran Mishra,12-B,23-07-2005,Manoj Mishra,Sunita Mishra,smishra@gmail.com,8429142410,sunitam@hotmail.com,8217092990,simranmishra@gmail.com,9528976336,Paigah Tombs
122011,Krish Desai,12-B,03-06-2004,Harish Desai,Neelam Desai,ndesai@yahoo.com,8637724637,neelamd@yahoo.com,7205682460,krishdesai@outlook.com,8935597292,Ameerpet
122012,Neha Kulkarni,12-B,09-05-2005,Sanjay Kulkarni,Aarti Kulkarni,akulkarni@yahoo.com,8531475050,aartik@outlook.com,8423055714,nehakulkarni@gmail.com,9688049165,Ramoji Film City
122013,Atharv Joshi,12-B,18-04-2006,Manish Joshi,Priya Joshi,pjoshi@hotmail.com,9038493651,priyaj@gmail.com,8184338507,atharvjoshi@yahoo.com,7131140841,Mecca Masjid
122014,Radhika Verma,12-B,29-12-2005,Arun Verma,Sunita Verma,sverma@hotmail.com,7273588832,sunitav@gmail.com,8042056440,radhikaverma@yahoo.com,7422710875,HITEC City
122015,Karan Gupta,12-B,25-08-2006,Rakesh Gupta,Preeti Gupta,pgupta@yahoo.com,9328458251,preetig@outlook.com,9180106665,karangupta@gmail.com,9753144171,Golconda Fort
122016,Ishika Thakur,12-B,02-04-2005,Rajesh Thakur,Neelam Thakur,nthakur@outlook.com,9587977206,neelamt@hotmail.com,9022962555,ishikathakur@hotmail.com,9258605727,Qutb Shahi Tombs
